,name,price,description,size,abv,list_of_flavors,style_list,avg_rating,num_rating,subtitle,current_date,product_link
73,Jameson Black Barrel,£33.45,"A special pot still whiskey-heavy version of Jameson. Black Barrel has lots of first-fill bourbon and sherry casks in the mix, giving it a much richer flavour than regular Jameson, with a strong sherried note.

Tasting Notes (2)",70cl,40%,"['Nutmeg', 'Honey ', 'Malt', 'Oak', 'Dried Fruit']","['Body', 'Richness', 'Smoke', 'Sweetness']",4,64,Irish Blended Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/15235/jameson-black-barrel
74,Jameson Crested,£29.45,"Crested is the new name for Jameson's Crested Ten with an updated look, but the same blend. This is made with older aged Jameson with a high measure of pure pot-still whiskey in the mix, a fair proportion of which has been aged in sherry casks to add spicy sweetness.",70cl,40%,None,None,5,2,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/64661/jameson-crested
75,Jameson Caskmates Stout Edition,£26.45,"Jameson Caskmates sees the reuse of old whiskey barrels. Nothing new in that, but in between, they've been used to age stout from Cork's Franciscan Well brewery. This has added notes of cocoa, coffee and butterscotch to this classic Irish whiskey.

Tasting Notes (1)",70cl,40%,"['Marzipan', 'Milk Chocolate', 'Oak', 'Butterscotch', 'Coffee']",None,4.5,78,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/31012/jameson-caskmates-stout-edition
76,Jameson Caskmates IPA Edition,£25.95,"The second release in Jameson Caskmates range, finished this time in casks that once held zesty IPA. The combination adds further layers of hop fruitiness to the whiskies already fruity character as well as a touch of citrus, floral notes and some balancing bitterness. Perfect for a boilermaker – sip of IPA, sip of Jameson Caskmates, repeat.",70cl,40%,"['Mint', 'Lemon', 'Apple', 'Mango', 'Honeysuckle']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,6,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/43734/jameson-caskmates-ipa-edition
77,"Jameson Irish Whiskey
Bar Bottle",£48.95,"A 1.5 litre bottle of the massively popular Jameson Irish Whiskey. The label is placed upside down to be the correct way up when the bottle is placed on a bar optic. One of Jim Murray's favourites, with 95 points in the Whisky Bible 2013.",150cl,40%,None,None,None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/16723/jameson-irish-whiskey-bar-bottle
78,"Jameson
Bar Bottle",£160,"A mammoth gallon bottle of Jameson, the world's biggest Irish whiskey brand. One of Jim Murray's favourites, with 95 points in the Whisky Bible 2013.",450cl,40%,None,None,None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/2873/jameson-bar-bottle
79,Jameson,£23.95,"Hugely popular Irish blend, renowned for its affinity with ginger ale. The default springboard into the fascinating world of Irish whiskey, Jameson's quality has improved massively in the last 10-15 years and it's one of Jim Murray's favourites, with 95 points in the Whisky Bible 2013.

Tasting Notes (1)",70cl,40%,"['Sherry', 'Toast', 'Oak']",None,4,87,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/2863/jameson
80,Jameson 2007 Rarest Vintage Reserve,"£1,250",,70cl,46%,None,None,None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/59540/jameson-2007-rarest-vintage-reserve
81,"Jameson 15 Year Old
Bot.1970s",£550,"An old bottle of Jameson's 15 year old Very Special Old Whisky, bottled at some time in the 1970s.


Please note


 This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",75cl,40%,None,None,5,1,Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/18978/jameson-15-year-old-bot1970s
82,"Jameson 15 Year Old
Limited Edition",£750,"A very rare Jameson's - this 15yo is pure potstill whiskey, with no grain whiskey content at all. Bottled for the Millennium, this Jameson, considered by many connoisseurs to be the finest produced, is now almost impossible to find.

Tasting Notes (2)",70cl,40%,None,None,5,8,Single Pot Still Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/2867/jameson-15-year-old-limited-edition
83,"Jameson
Bot.1970s",£250,"Please note


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",75cl,40%,None,None,None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/60086/jameson-bot1970s
84,"Jameson 12 Year Old Distillery Reserve
Bot.1990s",£500,"Please note


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",70cl,40%,None,None,None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/31057/jameson-12-year-old-distillery-reserve-bot1990s
85,"John Jameson 10 Year Old
Bot.1950s","£1,000","An old bottle of John Jameson 10 Year Old from the 1950s, this was produced at the old Bow Street distillery before the move to Midleton in 1975.


Please note


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",75cl,40%,None,None,None,None,None,08/09/2022,https://www.thewhiskyexchange.com/p/29461/john-jameson-10-year-old-bot1950s
87,"JJ Corry Flintlock 15 Year Old
Batch 3",£99.95,"The third batch of JJ Corry The Flintlock is a 15-year-old single malt Irish whiskey created by marrying six hand-picked ex-bourbon casks in a Moscatel sherry butt. This time in a sherry cask has imparted notes of dried fruit, juicy peaches, mellow toasted vanilla, almond and sun-ripened grapes throughout the palate.",50cl,46%,"['Vanilla ', 'Peach', 'Almond', 'Toast', 'Dried Fruit', 'Grape']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/65806/jj-corry-flintlock-15-year-old-batch-3
88,JJ Corry Fierfield Barberry,£35.45,"Fierfield combines Irish whiskey from JJ Corry with native Irish botanicals, inspired by traditional Irish remedies. Barberry is rich and autumnal, with hazelnuts and damson notes, tempered by blood orange and garden herbs on the palate.

Tasting Notes (1)",70cl,42%,"['Orange ', 'Hazelnut', 'Mixed Herb', 'Plums']",None,None,None,Botanical Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/63546/jj-corry-fierfield-barberry
89,JJ Corry Fierfield Birch,£35.45,"In a revival of an old Irish tradition, Fierfield combines Irish whiskey from JJ Corry with native Irish botanicals. Birch is inspired by the warmth of summer, with light jasmine and apricot notes mingling with brioche and tart white grapes.

Tasting Notes (1)",70cl,42%,"['Apricot', 'Mixed Herb']",None,None,None,Botanical Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/63545/jj-corry-fierfield-birch
90,JJ Corry The Hanson,£49.75,"JJ Corry The Hanson is a blended grain Irish whiskey that was created with cocktails in mind. Matured in ex-bourbon barrels for up to 10 years, aromas of vanilla fudge, toasted coconut, lime zest and pineapple fill the nose, complemented by notes of green apples, rye spice, lemongrass and hints of sea salt throughout the palate.",70cl,46%,"['Vanilla ', 'Apple', 'Salt (powder)', 'Coconut', 'Toffee', 'Lemongrass']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Irish Grain Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/64425/jj-corry-the-hanson
