,name,price,description,size,abv,list_of_flavors,style_list,avg_rating,num_rating,subtitle,current_date,product_link
179,Waterford Lakefield 1.1,£71.45,"The first release of Lakefield Irish single malt whiskey from Waterford is part of its Single Farm Origin range. Made with barley harvested in 2016, Lakefield 1.1 was matured in a variety of casks for three and a half years before being bottled. The palate offers notes of apple crumble, stewed rhubarb and clove that linger in the finish.",70cl,50%,"['Clove', 'Apple', 'Rhubarb', 'Brioche']","['Body', 'Richness', 'Smoke', 'Sweetness']",no rating,no rating,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/58752/waterford-lakefield-11
180,Waterford Grattansbrook 1.1,£71.45,"An Irish single malt whiskey from Waterford's Single Farm Origin series, made exclusively with barley from Grattansbrook farm and matured for three years in a variety of casks. Aromas of marzipan, white grapes and lemon zest fill the nose, complemented by notes of raisins, chocolate spread, brown sugar, orange zest, cinnamon, ginger and banana throughout the palate.",70cl,50%,"['Cinnamon', 'Raisins ', 'Orange ', 'Lemon', 'Banana', 'Milk Chocolate']","['Body', 'Richness', 'Smoke', 'Sweetness']",no rating,no rating,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/58751/waterford-grattansbrook-11
181,Waterford Ballymorgan 1.2,£71.45,"The second release of Ballymorgan Single Farm Origin Irish single malt whiskey from Waterford is made exclusively with barley grown by Robert Milne in County Wexford. Fruity aromas of orange, mango and treacle fill the nose, complemented by notes of cinnamon, nutmeg and fresh malt on the palate.",70cl,50%,"['Vanilla ', 'Nutmeg', 'Cinnamon', 'Orange ', 'Mango', 'Butterscotch']","['Body', 'Richness', 'Smoke', 'Sweetness']",no rating,no rating,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/57493/waterford-ballymorgan-12
182,Waterford Sheestown 1.2,£71.45,"A Single Farm Origin single malt Irish whiskey from Waterford, Sheestown 1.2 is made exclusively with barley grown by Phillip O'Brien in Sheestown, Kilkenny. Softly spiced aromas of cinnamon, black pepper and cooked pears fill the nose, complemented by notes of malted barley, vanilla, apples and caraway throughout the palate.",70cl,50%,"['Vanilla ', 'Black Pepper', 'Cinnamon', 'Pear ', 'Apple', 'Caraway']","['Body', 'Richness', 'Smoke', 'Sweetness']",no rating,no rating,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/57492/waterford-sheestown-12
183,Waterford Gaia Organic 1.1,£78.45,"The first organic Irish single malt whiskey from Waterford, Gaia 1.1 is made using 100% organic barley grown on seven different farms in Ireland. It has been matured in a combination of ex-bourbon, virgin American oak, French oak and Vin Doux Naturel wine casks creating a fruity, spicy character.",70cl,50%,None,None,no rating,no rating,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/56320/waterford-gaia-organic-11
184,Waterford Ballymorgan 1.1,£89.95,"The barley used to make Waterford Ballymorgan 1.1 Single Farm Origin Irish whiskey was grown in County Wexford, just an hour away from the distillery and matured in a combination of French and American oak casks.",70cl,50%,None,None,no rating,no rating,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/55378/waterford-ballymorgan-11
185,Waterford Sheestown 1.1,£89.95,"Sheestown 1.1 is a single farm origin Irish whiskey from Waterford, made with barley grown just outside of the historic town of Kilkenny. Matured in a combination of French and American oak casks.",70cl,50%,None,None,no rating,no rating,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/55377/waterford-sheestown-11
186,Waterford Ballykilcavan 1.2,£69.95,Ballykilcavan Edition 1.2 from Waterford is made with 100% Taberna barley grown by David Walsh-Kemmis west of the Barrow in County Laois. Distilled in 2016 and matured in a combination French and American oak casks for three months longer than Edition 1.1.,70cl,50%,None,None,no rating,no rating,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/55376/waterford-ballykilcavan-12
187,Waterford Bannow Island 1.2,£69.95,"Part of the second wave of whiskies from Waterford, Bannow Island 1.2 is made using barley grown on the extreme southern coast of County Wexford by Ed Harpur. Aromas of pears, green apples, salted toffee, toasted barley and vanilla on the nose, as well as vanilla, white grapes and white pepper. The palate offers notes of apple crumble, cinnamon, toffee, lime zest and ginger, followed by butterscotch, white grapes and white pepper.",70cl,50%,"['White Pepper', 'Ginger', 'Cinnamon', 'Apple', 'Toffee', 'Grape']","['Body', 'Richness', 'Smoke', 'Sweetness']",4,1,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/55375/waterford-bannow-island-12
188,Waterford Ballykilcavan 1.1,£89.95,"One of two inaugural releases from Waterford in Ireland, a distillery dedicated to showcasing the character that different farms and their terroir can give to whisky. Ballykilcavan farm is in the middle of a wood, with rich soil and protection for wind perfect for growing barley. The resulting whisky is punchy and sweet, run through with fruit and spicy grain.",70cl,50%,"['Vanilla ', 'Cinnamon', 'Pear ', 'Apple', 'Oak', 'Hay']",None,5,1,Irish Single Malt Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/54870/waterford-ballykilcavan-11
